"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
301,95.2,95.2,4.8,"Aarberg (BE)",
302,38,38,62,"Bargen (BE)",
303,52.4,52.4,47.6,"Grossaffoltern (BE)",
304,73.4,73.4,26.6,"Kallnach (BE)",
305,47.7,47.7,52.3,"Kappelen (BE)",
306,39.1,39.1,60.9,"Lyss (BE)",
307,31.5,31.5,68.5,"Meikirch (BE)",
309,83.5,83.5,16.5,"Radelfingen (BE)",
310,63.4,63.4,36.6,"Rapperswil (BE)",
311,96.4,96.4,3.6,"Schüpfen (BE)",
312,87.7,87.7,12.3,"Seedorf (BE)",
321,85.5,85.5,14.5,"Aarwangen (BE)",
322,96.7,96.7,3.3,"Auswil (BE)",
323,54.4,54.4,45.6,"Bannwil (BE)",
324,80.7,80.7,19.3,"Bleienbach (BE)",
325,74.8,74.8,25.2,"Busswil bei Melchnau (BE)",
326,83.1,83.1,16.9,"Gondiswil (BE)",
329,64.5,64.5,35.5,"Langenthal (BE)",
331,51.4,51.4,48.6,"Lotzwil (BE)",
332,31,31,69,"Madiswil (BE)",
333,71.1,71.1,28.9,"Melchnau (BE)",
335,45.8,45.8,54.2,"Oeschenbach (BE)",
336,49.5,49.5,50.5,"Reisiswil (BE)",
337,49.9,49.9,50.1,"Roggwil (BE)",
338,11.6,11.6,88.4,"Rohrbach (BE)",
339,37.6,37.6,62.4,"Rohrbachgraben (BE)",
340,8.5,8.5,91.5,"Rütschelen (BE)",
341,44,44,56,"Schwarzhäusern (BE)",
342,26,26,74,"Thunstetten (BE)",
344,58.2,58.2,41.8,"Ursenbach (BE)",
345,85.5,85.5,14.5,"Wynau (BE)",
351,88.7,88.7,11.3,"Berna (BE)",
352,71.1,71.1,28.9,"Bolligen (BE)",
353,68.2,68.2,31.8,"Bremgarten bei Bern (BE)",
354,66.7,66.7,33.3,"Kirchlindach (BE)",
355,44.2,44.2,55.8,"Köniz (BE)",
356,51.2,51.2,48.8,"Muri bei Bern (BE)",
357,90.2,90.2,9.8,"Oberbalm (BE)",
358,52.6,52.6,47.4,"Stettlen (BE)",
359,21.2,21.2,78.8,"Vechigen (BE)",
360,66.5,66.5,33.5,"Wohlen bei Bern (BE)",
