"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
301,66.1,66.1,33.9,"Aarberg (BE)",
302,80.4,80.4,19.6,"Bargen (BE)",
303,48.4,48.4,51.6,"Grossaffoltern (BE)",
304,8.3,8.3,91.7,"Kallnach (BE)",
305,26.5,26.5,73.5,"Kappelen (BE)",
306,71.6,71.6,28.4,"Lyss (BE)",
307,14.1,14.1,85.9,"Meikirch (BE)",
309,47.7,47.7,52.3,"Radelfingen (BE)",
310,67.4,67.4,32.6,"Rapperswil (BE)",
311,51.2,51.2,48.8,"Schüpfen (BE)",
312,82.5,82.5,17.5,"Seedorf (BE)",
321,51.5,51.5,48.5,"Aarwangen (BE)",
322,42.5,42.5,57.5,"Auswil (BE)",
323,24.8,24.8,75.2,"Bannwil (BE)",
324,14.6,14.6,85.4,"Bleienbach (BE)",
325,60.1,60.1,39.9,"Busswil bei Melchnau (BE)",
326,85.8,85.8,14.2,"Gondiswil (BE)",
329,97.6,97.6,2.4,"Langenthal (BE)",
331,23.4,23.4,76.6,"Lotzwil (BE)",
332,30,30,70,"Madiswil (BE)",
333,51.1,51.1,48.9,"Melchnau (BE)",
335,46.6,46.6,53.4,"Oeschenbach (BE)",
336,50.2,50.2,49.8,"Reisiswil (BE)",
337,49.5,49.5,50.5,"Roggwil (BE)",
338,88.9,88.9,11.1,"Rohrbach (BE)",
339,78.8,78.8,21.2,"Rohrbachgraben (BE)",
340,25.4,25.4,74.6,"Rütschelen (BE)",
341,73.9,73.9,26.1,"Schwarzhäusern (BE)",
342,28.1,28.1,71.9,"Thunstetten (BE)",
344,40.3,40.3,59.7,"Ursenbach (BE)",
345,47.5,47.5,52.5,"Wynau (BE)",
351,37,37,63,"Berna (BE)",
352,64.6,64.6,35.4,"Bolligen (BE)",
353,72.3,72.3,27.7,"Bremgarten bei Bern (BE)",
354,39.9,39.9,60.1,"Kirchlindach (BE)",
355,29.6,29.6,70.4,"Köniz (BE)",
356,32.5,32.5,67.5,"Muri bei Bern (BE)",
357,67.3,67.3,32.7,"Oberbalm (BE)",
358,47.6,47.6,52.4,"Stettlen (BE)",
359,9.6,9.6,90.4,"Vechigen (BE)",
360,92.2,92.2,7.8,"Wohlen bei Bern (BE)",
361,89.8,89.8,10.2,"Zollikofen (BE)",
362,97.2,97.2,2.8,"Ittigen (BE)",
363,54.1,54.1,45.9,"Ostermundigen (BE)",
371,24,24,76,"Bienne (BE)",
372,89.6,89.6,10.4,"Evilard (BE)",
381,40.9,40.9,59.1,"Arch (BE)",
382,78.9,78.9,21.1,"Büetigen (BE)",
383,48.8,48.8,51.2,"Büren an der Aare (BE)",
385,88.3,88.3,11.7,"Diessbach bei Büren (BE)",
386,53,53,47,"Dotzigen (BE)",
387,83.8,83.8,16.2,"Longeau (BE)",
388,70.1,70.1,29.9,"Leuzigen (BE)",
390,59.9,59.9,40.1,"Meinisberg (BE)",
391,41.1,41.1,58.9,"Oberwil bei Büren (BE)",
392,58.9,58.9,41.1,"Perles (BE)",
393,51.8,51.8,48.2,"Rüti bei Büren (BE)",
394,16.4,16.4,83.6,"Wengi (BE)",
401,46.7,46.7,53.3,"Aefligen (BE)",
402,24.7,24.7,75.3,"Alchenstorf (BE)",
403,17.2,17.2,82.8,"Bäriswil (BE)",
404,51.4,51.4,48.6,"Berthoud (BE)",
405,2.1,2.1,97.9,"Ersigen (BE)",
406,54.3,54.3,45.7,"Hasle bei Burgdorf (BE)",
407,59.7,59.7,40.3,"Heimiswil (BE)",
409,23.6,23.6,76.4,"Hindelbank (BE)",
410,62.6,62.6,37.4,"Höchstetten (BE)",
411,84.6,84.6,15.4,"Kernenried (BE)",
412,45.8,45.8,54.2,"Kirchberg (BE)",
413,65.8,65.8,34.2,"Koppigen (BE)",
414,42.9,42.9,57.1,"Krauchthal (BE)",
415,38.1,38.1,61.9,"Lyssach (BE)",
418,34.7,34.7,65.3,"Oberburg (BE)",
420,72.2,72.2,27.8,"Rüdtligen-Alchenflüh (BE)",
421,56.3,56.3,43.7,"Rumendingen (BE)",
422,44.3,44.3,55.7,"Rüti bei Lyssach (BE)",
423,97.1,97.1,2.9,"Willadingen (BE)",
424,47.9,47.9,52.1,"Wynigen (BE)",
431,60.8,60.8,39.2,"Corgémont (BE)",
432,38.1,38.1,61.9,"Cormoret (BE)",
433,49.2,49.2,50.8,"Cortébert (BE)",
434,20.7,20.7,79.3,"Courtelary (BE)",
435,17,17,83,"La Ferrière (BE)",
437,83,83,17,"Mont-Tramelan (BE)",
438,84.1,84.1,15.9,"Orvin (BE)",
441,69.7,69.7,30.3,"Renan (BE)",
442,39.2,39.2,60.8,"Romont (BE)",
443,76.3,76.3,23.7,"Saint-Imier (BE)",
444,11.6,11.6,88.4,"Sonceboz-Sombeval (BE)",
445,86.8,86.8,13.2,"Sonvilier (BE)",
446,45.3,45.3,54.7,"Tramelan (BE)",
448,81.7,81.7,18.3,"Villeret (BE)",
449,46,46,54,"Sauge (BE)",
450,71.5,71.5,28.5,"Péry-La Heutte (BE)",
491,45.9,45.9,54.1,"Brüttelen (BE)",
492,55.6,55.6,44.4,"Cerlier (BE)",
493,39.3,39.3,60.7,"Finsterhennen (BE)",
494,69.8,69.8,30.2,"Gals (BE)",
495,1.3,1.3,98.7,"Gampelen (BE)",
496,46.8,46.8,53.2,"Anet (BE)",
497,45.3,45.3,54.7,"Lüscherz (BE)",
498,43.8,43.8,56.2,"Müntschemier (BE)",
499,1.5,1.5,98.5,"Siselen (BE)",
500,89.9,89.9,10.1,"Treiten (BE)",
501,92.8,92.8,7.2,"Tschugg (BE)",
502,42.1,42.1,57.9,"Vinelz (BE)",
533,0,0,100,"Bätterkinden (BE)",
538,20.7,20.7,79.3,"Fraubrunnen (BE)",
540,37.2,37.2,62.8,"Jegenstorf (BE)",
541,52.1,52.1,47.9,"Iffwil (BE)",
543,80.6,80.6,19.4,"Mattstetten (BE)",
